Comment,Timestamp,Sentiment
the Dumbocrats want Trump out so bad  because he is draining their corrupt swamp,2019-09-25T13:03:53Z,-0.6359
"Impeach Corrupt Trump. 
🇺🇸In USA NO ONE us above the American constitution Law. 
Corrupt trump ask Ukraine president to interfere with US election. Dump Trump Treason💥💥",2019-09-25T12:08:06Z,-0.6739
"Haters trump, republican, Putin, Russian bots leaving negative comments and thumb down here.💥",2019-09-25T12:04:28Z,-0.7845
"""If you spend all day shuffling words around, you can make anything sound bad, Morty."" - Rick",2019-09-25T09:41:00Z,-0.5423
"everyone.s going to want to hear or know this , unfortunately nobody knows what Ben Franklin sounded like or his slaves if he had any ,well revolutionaries are everywhere and sure it's probably harmless whatever but interpreted as not the NSA or CIA but somehow as she educated everyone about. Sure whatever the God bless you all also. Who is the informant of the international assistance to not canvas Americans on behalf of Kiev anyway,",2019-09-25T08:56:45Z,0.9006
Finally. Perhaps the US can now repair their image in the minds of the rest of the world. I know I hope this is the first step for the US to drop their superiority complex and join us in trying to avoid world catastrophy.,2019-09-25T08:44:24Z,0.4939
She nearly didn't make it to the table lol.,2019-09-25T08:03:51Z,0.4215
One way .... Has to find their plants...  His lawyer could take it from there...heh,2019-09-25T07:44:13Z,0.0
Lucky me n the smart former US citizens who renounced our citizenship n don’t live in a capitalist stolen land with it GMO soil n stupid healthcare system. Enjoy another Trump year you fools.,2019-09-25T07:30:37Z,-0.2732
"If you are so worried about protecting whistleblowers, step up for Assange..!!",2019-09-25T06:52:14Z,-0.5346
whistleblower is nothing but a snitch,2019-09-25T06:06:00Z,0.0
"It's time to disband the DemonRat party, they have become the true evil that is destroying our country, and failing the American people.",2019-09-25T06:01:32Z,-0.7783
PUTLER PUTIN KAPUT !!!,2019-09-25T05:52:05Z,0.0
"“It is not a God, just and good, but a devil, under the name of God, that the Bible describes.”
Thomas Paine",2019-09-25T05:29:14Z,-0.8307
"Nancy Pelosi, you're off your rocks you can not, and impeachment something that you have no evidence?",2019-09-25T05:12:44Z,-0.296
Нэнси Пелоси очень устала и возраст достает.Надо Нэнси в долгосрочный отпуск отправить  по странам -Ирак - Ливия -Афганистан.,2019-09-25T04:56:35Z,0.0
"Does Nancy Pelosi do anything in life beside trying to impeach trump and failing at it every single time? HE WON! GET OVER IT!!!!  I mean this crazy women have been in involved in politics since 1987, I dare %99.9 of Americans to name one useful thing she did to the public .. she is so useless to the point no one heard of her until she started fighting Trump!",2019-09-25T04:56:34Z,-0.8021
"Watch closely, especially her face and her eyes, and you will notice the deceit and hypocrisy in it. Use your common sense. This is the woman who said Trump will never be President. She looks haunted by her own words.",2019-09-25T04:40:56Z,-0.7269
"Look at her eyes. Pelosi is the America witch, the corrupt deep state blood sucking demons, feeding off of our Tax payer",2019-09-25T04:26:53Z,-0.3612
Trump got them again😂😂 they are protecting bidens corruptions,2019-09-25T03:51:11Z,0.0
"I was thinking democrats would have held out till the election is closer. Just so they can say ""it's un-American to vote for a President that breaks the law so you have to vote for us"".  Democrats have no hope for winning and the house will go back to the republicans just to shut them up. I'm so sick of hearing drunken Pelosi and the rest of these worthless bums.",2019-09-25T03:36:09Z,-0.4663
I suppose military secrets are covered under the whistle blower protections? Can I whistle blow on troop strength and location? The President is the Chief Law Enforcement Officer in the country. He was performing his duty.,2019-09-25T03:27:54Z,0.5514
This is a declaration of war on America. Warning to all Democrats we will fight back. Since when does this old witch care about the rule of law. Hopefully a tornado drops a house on her and every other Democrat. The only good Democrat is a dead Democrat but unfortunately they still vote.,2019-09-25T03:10:55Z,-0.7615
"Aww man, she sharing those drugs?",2019-09-25T03:01:16Z,0.4215
"Imagine what ""it"" looks like when sleeping, that surprised look all night long (those eyebrows) lol!! That must look pretty freaky...would scare me to roll over next to that staring me in the face, ahhhhh!!!",2019-09-25T02:55:53Z,0.811
"Blink, Nancy, blink....",2019-09-25T02:48:02Z,0.0
"No one is above the law? Unless your Jesse Someilitt. 🤔
16 charges ad the obama stepped in and it all goes away😂",2019-09-25T02:44:53Z,-0.5106
"Since when did this lot care about the constitution. You trample on the second amendment all the time. And due process. 

First it was tax returns, then it was Russia, Russia, Russia now this Ukraine thing. 

Your lot act above the law all the time. I didn’t see you lot chase Hillary down with all those emails in the name of national security. 

What hypocrisy 🤮🤮🤮",2019-09-25T02:35:27Z,0.6808
"So are the Dems trying to retroactively interfere in the 2016 election, or proactively interfere in the 2020?

Answer: Yes.",2019-09-25T02:32:54Z,0.4019
"We will see the facts. Nancy, you have not. Again, way ahead of the facts before allegations are fully deserved. Everyone can see the Democrat dream is there will be no President Trump to run against in 2020. Why? You cannot convince the American people to vote this man out of office, nor convince them to vote leftist Democratic leaders. I remember Nancy you stating, “We are the opposition party.” One of the few times you spoke the truth.",2019-09-25T02:29:05Z,-0.0976
"Pelosi...she's 

Caring
Understanding
Noble
Trustworthy",2019-09-25T02:22:02Z,0.8689
"She's in bad shape - as bad as Hillary, Biden and Mueller",2019-09-25T02:21:32Z,-0.7906
Thank you Nancy,2019-09-25T02:21:26Z,0.3612
"She left the saloon and not answer any question, maybe don't have script for that.",2019-09-25T02:17:44Z,0.0
"Nancy: I promise I won't get Drunk tonight


*[Three bottles of Jack Daniels later]*

Nancy: ""we're going to impeach Trump!""",2019-09-25T02:14:51Z,0.5615
Can someone tell her to take her pill?,2019-09-25T02:14:31Z,0.0
HAPPY IMPEACHMENT DAY🇺🇸🎉,2019-09-25T01:50:31Z,0.5719
Wait so he is getting impeached or naw?,2019-09-25T01:50:01Z,0.0
Somehow tekashi69 snitched on him 😂😂😂,2019-09-25T01:43:25Z,0.0
go thump her rump trump 2020 patriots are the real americans here not u pelosi u suck,2019-09-25T01:39:05Z,0.3412
you speak of following the constitution but your a part of the elitist agenda for the nwo and complete hypocrit in my opinion you pelosi have violated and broke several constititutional laws yourself .. starting with the silent coop yall are partakin in.,2019-09-25T01:37:52Z,-0.8519
"I want to process my vaccien with air national guard  n my friend general josheo l lenyal 
 Would u 
 Ana all american people support n wellcome  my coming in usa mam
Thank you .",2019-09-25T01:36:53Z,0.8271
LOOK PEOPLE!!!! ANOTHER CHAPTER OF TALES FROM THE CRYPT . BOTOX HELP US ALL. I.MEAN SORRY.....GOD HELP US ALL.  THEY HAVE REALIZED  THAT TRUMP WON IN 2020. THIS IS THE REAL REASON.,2019-09-25T01:36:35Z,0.9255
Is she drunk?,2019-09-25T01:33:45Z,-0.34
Pelosi sounds drunker than usual.,2019-09-25T01:29:45Z,0.0
nasty Ghost.,2019-09-25T01:29:21Z,-0.7096
"Nancy finally took off the mask and revealed the essence of the witch! Biden and his son colluded with ccp, collecting huge sums of money and political funds, why not investigate! ! ! In turn, President Trump, who was impeached due to tell the truth! The Democratic Party is rubbish! It has been selling the interests of the American people since history! The fact that the Democratic Party has created the Russian Gate is now clear. Why are these fraudulent and the people who have fallen into the president without legal sanctions? Now I know why ccp is so rampant! ! ! Ccp and the US Democratic Party are the enemies of the world!",2019-09-25T01:29:16Z,0.7716
