Video ID,Comment ID,Comment,Published At,Video Title,Sentiment
0UfHSA7Sa8U,Ugy9dXaDDKzZoSMGqGR4AaABAg,"Biden says he “inherited a diplomatic agreement” between the U.S. and the Taliban that all U.S. forces would be out by May 1. “It is perhaps not what I would have negotiated myself, but it was an agreement made by the United States government, and that means something,” Biden says, adding that final troop withdrawal would begin on May 1.
“We will not conduct a hasty rush to the exit,” Biden says. “We’ll do it responsibly, deliberately, and safely.” Biden assures Americans that the U.S. has “trained and equipped a standing force of over 300,000 Afghan personnel” and that “they’ll continue to fight valiantly, on behalf of the Afghans, at great cost.”
April 15 — In response to Biden’s decision to delay full withdrawal until Sept. 11, the Taliban releases a statement that says failure to complete the withdrawal by May 1 “opens the way for [the Taliban] to take every necessary countermeasure, hence the American side will be held responsible for all future consequences.”
April 18 — In a released statement, Trump criticizes Biden’s Sept. 11 withdrawal deadline saying, “we can and should get out earlier.” He concludes, “Getting out of Afghanistan is a wonderful and positive thing to do. I planned to withdraw on May 1st, and we should keep as close to that schedule as possible.”
May 18 — The Defense Department IG releases a report for the first three months of 2021 that says the Taliban had increased its attacks against Afghanistan government forces during this period and appears to be preparing with al-Qaeda for “large-scale offensives.”
“The Taliban initiated 37 percent more attacks this quarter than during the same period in 2020,” the report said. “According to the Defense Intelligence Agency, the Taliban maintained close ties with al-Qaeda and was very likely preparing for large-scale offensives against population centers and Afghan government installations.”
May 18 — In a House hearing on U.S. policy in Afghanistan, Zalmay Khalilzad, the U.S. special representative for Afghanistan reconciliation, downplays the prospect of a swift Taliban takeover when U.S. forces leave. “If they [Taliban] pursue, in my judgment, a military victory, it will result in a long war, because Afghan security forces will fight, other Afghans will fight, neighbors will come to support different forces,” Khalilzad says.
Later Khalilzad added, “I personally believe that the statements that the [Afghan] forces will disintegrate, and the Talibs will take over in short order are mistaken. The real choices that the Afghans will face is between a long war and negotiated settlement.”
June 8 — Taliban spokesman Zabihullah Mujahid tells Foreign Policy that after foreign forces leave Afghanistan the group’s goal is to create an “Islamic government,” and “we will be compelled to continue our war to achieve our goal.”
June 26 — At a rally in Ohio, his first since leaving office, Trump boasts that Biden can’t stop the process he started to remove troops from Afghanistan, and acknowledges the Afghan government won’t last once U.S. troops leave.
“I started the process,” Trump says. “All the troops are coming back home. They [the Biden administration] couldn’t stop the process. 21 years is enough. Don’t we think? 21 years. They couldn’t stop the process. They wanted to, but it was very tough to stop the process when other things… It’s a shame. 21 years, by a government that wouldn’t last. The only way they last is if we’re there. What are we going to say? We’ll stay for another 21 years, then we’ll stay for another 50. The whole thing is ridiculous. … We’re bringing troops back home from Afghanistan.”
July 6 — The U.S. military confirms it has pulled out of Bagram Airfield, its largest airfield in the Afghanistan, as the final withdrawal nears.
July 8 — Saying “speed is safety,” Biden moves up the timeline for full troop withdrawal to Aug. 31. Biden acknowledges the move comes as the Taliban “is at its strongest militarily since 2001.” Biden says if he went back on the agreement that Trump made, the Taliban “would have again begun to target our forces” and that “staying would have meant U.S. troops taking casualties. … Once that agreement with the Taliban had been made, staying with a bare minimum force was no longer possible.”
Biden assures Americans that a Taliban takeover of Afghanistan “is not inevitable,” and denies that U.S. intelligence assessed that the Afghan government would likely collapse.
Asked if he sees any parallels between the withdrawals from Vietnam Afghanistan, Biden responds, “None whatsoever. Zero. … The Taliban is not the south — the North Vietnamese army. They’re not — they’re not remotely comparable in terms of capability.  There’s going to be no circumstance where you see people being lifted off the roof of a embassy in the — of the United States from Afghanistan.  It is not at all comparable.”
Biden adds that “the likelihood there’s going to be the Taliban overrunning everything and owning the whole country is highly unlikely.”
Biden also promises to help accelerate the issuance of special visas for Afghan nationals who helped the U.S. during the war.
July 24 — At a rally in Phoenix, Trump again boasts, “I started the move out of Afghanistan,” adding “I think it was impossible for him [Biden] to stop it, but it was a much different deal.”
Trump says that when he was president, in a phone conversation with the leader of the Taliban, he warned that after U.S. troops leave if “you decide to do something terrible to our country … we are going to come back and we are going to hit you harder than any country has ever been hit.” Trump says he believes the two “had a real understanding” but that after Trump left office “now they’re going wild over there.”
Aug. 6 — The Taliban takes control of its first province — the capital of Nimroz province in Afghanistan — despite the agreement it signed with the U.S.
Aug. 15 — Taliban fighters enter the Afghanistan capital Kabul; the Afghan president flees the country; U.S. evacuates diplomats from its embassy by helicopter.
Aug. 16 — In a speech to the nation, Biden says, “I do not regret my decision to end America’s warfighting in Afghanistan,” and deflected blame for the government’s swift collapse.
“The truth is: This did unfold more quickly than we had anticipated. So what’s happened? Afghanistan political leaders gave up and fled the country. The Afghan military collapsed, sometimes without trying to fight,” the president said. “If anything, the developments of the past week reinforced that ending U.S. military involvement in Afghanistan now was the right decision.”",2023-04-07T03:15:15Z,Biden administration releases review of Afghanistan withdrawal,-0.3886
0UfHSA7Sa8U,UgwNPQeKXa3ERpQVtpp4AaABAg,Has bought and paid for Biden EVER taken responsibility for anything?,2023-04-07T01:47:46Z,Biden administration releases review of Afghanistan withdrawal,0.0
0UfHSA7Sa8U,Ugwi1BKklu1a9yYHnh54AaABAg,😂😅  Trumps fault,2023-04-07T01:38:41Z,Biden administration releases review of Afghanistan withdrawal,-0.4019
0UfHSA7Sa8U,Ugwbwm5B6JmX6jsN4rZ4AaABAg,Was Trump responsible for NOT informing our allies that we were pulling out?,2023-04-07T00:14:40Z,Biden administration releases review of Afghanistan withdrawal,0.3182
0UfHSA7Sa8U,UgygUMK9l3Dtji9oviN4AaABAg,"Biden is so ridiculous. How can he blame trump?? He should man up and hold himself responsible for his dumb strategy regarding the withdraw from Afganistán.. He proudly announced that HE (Biden) had made the decision to end the war and bring our troops home. And now it’s Trumps fault? I regret to admit that I have never been informed or involved in politics, however, even the average American can see through all of Bidens, BS, lies, and damaging decisions. I don’t trust this President Biden. It has been proven that he is a liar. He was a liar in his early days as a politician and he is even a bigger liar now. Not only has it been proven, but I can see it and feel it. My gut instinct tells me this guy is no good for our country. As a matter of fact, I don’t trust a lot of the corrupt career politicians. And this is coming from a guy that this disliked Trump. My family, my neighborhood, and my people did not like Trump, BUT NOW, we are no longer blind. We now see reality and we now understand that Trump has the best intentions. As president he had  the best economy while the world was at peace. I don’t believe Trump would have handled the situation in Afghanistan so poorly. I am ashamed for not being informed sooner. I am part of the problem because so many of us did not go vote for Trump just because we simply didn’t know",2023-04-07T00:13:50Z,Biden administration releases review of Afghanistan withdrawal,-0.8405
0UfHSA7Sa8U,UgyOMRe-HcD9Yay_--d4AaABAg,NOTHING BEING BUILT BACK AT ALL! Now do u understand,2023-04-07T00:12:02Z,Biden administration releases review of Afghanistan withdrawal,0.0
0UfHSA7Sa8U,Ugzv1QA8aVnNRI_XjIZ4AaABAg,This report is sketchy at best. Biden didn’t do a good job but I will admit that Ex-Guy negotiated the withdrawal like he ran his Casinos.,2023-04-06T23:56:22Z,Biden administration releases review of Afghanistan withdrawal,0.8462
0UfHSA7Sa8U,UgyDRlhx5ZkvMeQaXpl4AaABAg,"At least they admitted the air strike in a busy residential neighborhood on an American aid worker and his 8 kids. Was a ""Mistake"" not a war crime.",2023-04-06T23:18:59Z,Biden administration releases review of Afghanistan withdrawal,0.7092
0UfHSA7Sa8U,UgzgmBVX0Q9kZsOMpvJ4AaABAg,"As Journalist it is your job to present a complete story, unbiased. https://www.youtube.com/watch?v=boAHSdhO_7A",2023-04-06T23:14:53Z,Biden administration releases review of Afghanistan withdrawal,-0.0258
0UfHSA7Sa8U,Ugyd9KGbzJz1CtkMDyJ4AaABAg,"To blame the Biden administration for actions taken by the previous administration that culminated in a suicide bomber killing 13 service members is a lot disingenuous. And, let's not forget Trump's role in all this. Let's not forget how disastrous and dangerous his attempt to undermine the incoming administration was. Let's not forget how his ego almost destroyed our democracy. Biden's administration was just unlucky, having taken the reigns of the presidency from the most disgusting, despicable president in America's history.",2023-04-06T22:56:56Z,Biden administration releases review of Afghanistan withdrawal,-0.9521
0UfHSA7Sa8U,UgwJ_hRxRJ_JwZs09Od4AaABAg,Trump gave the Taliban an exact draw down date …. It’s hard to work around that …. Has anyone proposed a work around to that?,2023-04-06T22:48:12Z,Biden administration releases review of Afghanistan withdrawal,-0.1027
0UfHSA7Sa8U,UgyqKv70NJ6codHoBlx4AaABAg,"Overruled. The 46th administration's attempt to blame the previous administration is a demonstration of lack of leadership #46, as leaders do not blame. God bless America.",2023-04-06T22:27:38Z,Biden administration releases review of Afghanistan withdrawal,-0.8336
0UfHSA7Sa8U,Ugy9rpB5bDKhrD_IATp4AaABAg,Joe Bidens and Barack Obama have blood on their hands remember Afghanistan disastrous Biden leaving surrender to the Talaban everything,2023-04-06T22:27:00Z,Biden administration releases review of Afghanistan withdrawal,-0.5994
0UfHSA7Sa8U,UgwqWG6N_CgAfPQlgJt4AaABAg,"Did Trump or his team undermine the Afghanistan government by negotiating with terrorists? 

Yes. 


Did Trump and his administration hand over withdrawal plans or help transition the project to Biden and his campaign? 

No. 


What happens when you negotiate with terrorists and refuse the peaceful transition of power? 

Chaos. 

Trump was angry he lost, and like a petulant child he set up America to fail as he left.",2023-04-06T22:23:16Z,Biden administration releases review of Afghanistan withdrawal,-0.9292
0UfHSA7Sa8U,UgzrtdVB1aVXXGp6ypJ4AaABAg,"Sour grades! Give me an example of a good withdrawal where everything worked out fine! Did the withdrawal from Vietnam go well?

There has to be some reason why certain things remain classified, like maybe it would still be dangerous to mention the sources of the information. Media only cares about getting the story and governments have other concerns. 

Let's deal with facts, did the tRump administration negotiate the withdrawal and timeline with the Taliban, yes, or no? Did the tRump administration/Taliban negotiations include the government of Afghanistan? Did the tRump administration brief the incoming Biden administration about Afghanistan, or anything? When did the Biden administration first start telling people to get out of Afghanistan? What is a good way to get hoards of people out of Afghanistan on the last day?",2023-04-06T22:22:12Z,Biden administration releases review of Afghanistan withdrawal,0.9387
0UfHSA7Sa8U,Ugw0YLKbWMYD9N33JTF4AaABAg,"I understand the role the Trump Administration had, but the withdrawal was horrible and whoever in office owns it. It should have been delayed rather than making it appear as if the US and NATO had to abide by the Taliban's timeline.",2023-04-06T22:18:45Z,Biden administration releases review of Afghanistan withdrawal,-0.7876
0UfHSA7Sa8U,UgwBk1y2TXJHrNQI38l4AaABAg,Can we see that fake plane again? with no windows? What is it? It looks like a big blow-up toy. 🤣,2023-04-06T22:16:20Z,Biden administration releases review of Afghanistan withdrawal,-0.5171
0UfHSA7Sa8U,Ugwwx_xN99fiicdFJOp4AaABAg,"Did he just say it was a “successful withdrawal”?  We all saw the videos, you’re not fooling anyone.",2023-04-06T22:16:11Z,Biden administration releases review of Afghanistan withdrawal,0.3089
0UfHSA7Sa8U,UgyuzOeJcCJiTa5EGUR4AaABAg,"🇮🇱Israeł is firing missiles at Gaza, a defenceless population 

Where is the condemnation from the US media?",2023-04-06T22:14:59Z,Biden administration releases review of Afghanistan withdrawal,-0.7351
0UfHSA7Sa8U,UgzPdmpT6WWkqRRJPUR4AaABAg,Cooments are being monitored and eliminated. Misspelled on purpose.,2023-04-06T22:14:43Z,Biden administration releases review of Afghanistan withdrawal,0.0
0UfHSA7Sa8U,UgwFEqbkb4_62IRnJ5F4AaABAg,Blaming Biden’s generals who then said they did not agree with the plan ! That Biden himself had refused to accept  the do not even do it  . Response from the generals he blamed . And it was all a constant Biden disaster master act . That all nato was very angry for leaving them with a lost 20 year war as sell as leaving the enemy with massive ammunition and weapons as well as those service men that had never before happened  . As well as Biden’s promise that the embassy roof top evacuation like Vietnam would not happen . Yet two weeks after that promise it was on the videos !,2023-04-06T22:09:51Z,Biden administration releases review of Afghanistan withdrawal,-0.9571
0UfHSA7Sa8U,UgxQwqEHcu0cL27sASR4AaABAg,"Any good leader, would take responsibility for  any faults in his administration. And accomplishment done in his tenure would go to the people Underneath Him.",2023-04-06T22:09:51Z,Biden administration releases review of Afghanistan withdrawal,-0.0516
0UfHSA7Sa8U,Ugz0lwNpTpIA8fIxMDh4AaABAg,*OF COURSE Joe Biden would blame Trump. I'm not a Republican and was never a big Trump fan but even I know Trump would not have run from Afghanistan with his tail between his legs like Biden did - and Trump would NEVER have left $85 Billion of taxpayer funded military equipment behind!*,2023-04-06T22:09:03Z,Biden administration releases review of Afghanistan withdrawal,0.3315
0UfHSA7Sa8U,Ugw3j_z8zSykulnZgwZ4AaABAg,Saying Afghanistan withdrawal was a success is like saying Biden never took showers with his daughter Ashley,2023-04-06T22:08:56Z,Biden administration releases review of Afghanistan withdrawal,0.743
