Video ID,News Channel,Comment ID,Comment,Published At,Likes,Sentiment
QjgOie-m5-I,ABC News,UgyP1x6LQ2-OAKzVFHd4AaABAg,😡😡😡😡😡,2023-04-30T00:58:15Z,0,0.0
QjgOie-m5-I,ABC News,Ugx0U1gdlMEvjbbRM1h4AaABAg,😂😂😂😂😂 I don't want Biden as my president ever again 😤,2023-04-30T00:56:48Z,0,-0.0572
QjgOie-m5-I,ABC News,UgxzRXSq4ukrzN98WSF4AaABAg,Anyone voting for Biden is anti-American,2023-04-30T00:24:29Z,0,0.0
QjgOie-m5-I,ABC News,Ugx0M3IRNInUO6MTUA94AaABAg,"Why do you LIE ABC?? Your so ridiculous! Phonies, turned your crap show off 3 years ago when I Funafuti WOKE up!",2023-04-29T23:55:45Z,0,-0.7773
QjgOie-m5-I,ABC News,UgzOMKlVmnxcML4bd8p4AaABAg,What a flipping joke 🤣😂😅🤥🤥🤥,2023-04-29T23:54:23Z,0,0.3597
QjgOie-m5-I,ABC News,UgxK3jWowwQs0jco7q94AaABAg,NOT GONNA HAPPEN ! We do not want him or kamala destruction if we do,2023-04-29T22:01:03Z,0,-0.6386
QjgOie-m5-I,ABC News,Ugy0Ej7IdJ-OylDyo_J4AaABAg,Alzheimer is getting worst! 😂😂,2023-04-29T21:13:59Z,0,-0.6588
QjgOie-m5-I,ABC News,UgzZPycmmKBmJtYNxeV4AaABAg,"Go President Biden re-elect him he needs to finish of America, freedom for all.😂",2023-04-29T16:42:47Z,0,0.6369
QjgOie-m5-I,ABC News,Ugwil9z5CbZTqL9AsBd4AaABAg,THESE ARE THE CHOICES??!?!?,2023-04-29T16:28:38Z,0,0.0
QjgOie-m5-I,ABC News,Ugyq01WXmuogoUCzM2F4AaABAg,Finish the job is exactly right....,2023-04-29T15:59:46Z,0,0.0
QjgOie-m5-I,ABC News,Ugx8eIXwD1e7mwpfS3R4AaABAg,reading the comments I thought this must be a Republican channel lol NOPE bipartisan news channel 😂 they gonna have to make a new puppet,2023-04-29T15:56:52Z,0,0.4215
QjgOie-m5-I,ABC News,UgwfQ_IBlHU7yj03rwh4AaABAg,I’d move out of this Country before I ever think about voting for this fucking moron!,2023-04-29T15:46:20Z,0,-0.5838
QjgOie-m5-I,ABC News,UgwKbs6bNQBx5g2rWTh4AaABAg,Uhm. No sir. Youve done enough damage.,2023-04-29T13:13:15Z,1,-0.6597
QjgOie-m5-I,ABC News,UgxFHXEmM1Bo7fDS8s14AaABAg,When asked by a child what was the last country he was in two weeks ago he couldn't remember 😂😂😂😂😂 go democrats 😂😂😂😂,2023-04-29T13:11:08Z,0,0.0
QjgOie-m5-I,ABC News,UgyBCeRcvn4SusknpoR4AaABAg,Finish the job of destroying our country. Sound like a good idea. 🤦‍♂️,2023-04-29T12:44:50Z,0,0.2023
QjgOie-m5-I,ABC News,Ugxlhn1bSxVhu7p8lVh4AaABAg,"We have enough of Biden!!
We need someone else!
Not a looser like Trump!!😄",2023-04-29T03:56:20Z,0,0.5673
QjgOie-m5-I,ABC News,UgxkY9c7KTQXLwIoiG54AaABAg,Only the completely brainwashed will vote for this tool. Worst administration in our history,2023-04-29T02:30:34Z,1,-0.6249
QjgOie-m5-I,ABC News,UgyNq4DVJ04ks6-NIUZ4AaABAg,We have less freedoms. We are being destroyed by this man’s delusions. He has torn up our bill of rights and our constitution. Michigan has sold out to China to manufacture chips. Way to go. America last,2023-04-28T22:58:52Z,0,-0.5095
QjgOie-m5-I,ABC News,UgyRboEA-rHMJ-bOHKJ4AaABAg,#fjb,2023-04-28T22:56:00Z,1,0.0
QjgOie-m5-I,ABC News,Ugw2D3LJKXK3X91IMH54AaABAg,"The video shouldve started with the afgahnistan retreat, but i doubt he even remembers where that is",2023-04-28T22:03:02Z,1,-0.431
QjgOie-m5-I,ABC News,UgxYxtsCP0TRIMPhFYB4AaABAg,What type of freedom do we have when we depend on the government to give us everything........it sounds like we would be marionettes.,2023-04-28T21:29:21Z,0,0.7717
QjgOie-m5-I,ABC News,Ugx4qyoujipqq1Tfo-94AaABAg,bLIEden: I'm proud of what we've accomplished so far. Did u know that my administration has dramatically brought the price of fentanyl down that virtually anyone can buy it at very cheap prices and die knowing they'll still have money left over.  Ur welcome America!!,2023-04-28T20:55:56Z,0,0.6892
QjgOie-m5-I,ABC News,Ugxc4SNHLeN1gvuJGXx4AaABAg,It’s despicable that the press covers for this guy.,2023-04-28T20:50:39Z,0,0.0
QjgOie-m5-I,ABC News,UgxTugf8CzUl5gX5psJ4AaABAg,"No bankruptcies, no divorces, no retarded children. Those things make him far more qualified than Donnie Bonespurs.",2023-04-28T17:54:29Z,0,-0.8519
QjgOie-m5-I,ABC News,Ugw59qkr4K_0cyOs0dZ4AaABAg,Inflation higher than a mf and people will still vote for this dummy.,2023-04-28T15:45:43Z,0,0.0
QjgOie-m5-I,ABC News,UgwrojVN6x2p3FNFKqZ4AaABAg,Maga trying to get rid of bedrock freedoms? As aren't you the one that wants to take our 2nd amendment rights away?,2023-04-28T11:13:44Z,0,0.3736
QjgOie-m5-I,ABC News,UgyfdY8PkTi-hgNdNul4AaABAg,I want Trump to finish what he started. Biden Finishing what he started means the total destruction of the United States.,2023-04-28T11:12:07Z,0,-0.1531
QjgOie-m5-I,ABC News,Ugzb78U05807IQrFrk94AaABAg,"No one is concerned about his age, we are concerned about his late stage dementia.",2023-04-28T09:01:30Z,0,-0.296
QjgOie-m5-I,ABC News,Ugw_eZIr_m-OmzMW4LJ4AaABAg,"""Can I live Four more years? Let's find out together!! Biden for President 2024""",2023-04-28T08:40:31Z,0,0.0
QjgOie-m5-I,ABC News,UgxWnyA_5Jv39kjIJCl4AaABAg,This man is crazy 4 more years we can’t take it we need to make America Great Again.,2023-04-28T05:59:31Z,0,0.4019
QjgOie-m5-I,ABC News,UgxLriFSYpNsikSiHvh4AaABAg,I vote on how many times a candidate hasn’t fallen down,2023-04-28T00:48:27Z,0,-0.3612
QjgOie-m5-I,ABC News,UgxHpeeJF0d_ZdsA_EZ4AaABAg,You've got my vote Joe!!!,2023-04-28T00:13:59Z,1,0.0
QjgOie-m5-I,ABC News,Ugys6szk5ULcu6ZLy4h4AaABAg,Political parties that's a duopoly the very rich owns are not different !,2023-04-28T00:04:12Z,0,0.7836
QjgOie-m5-I,ABC News,UgwLAmCsHFDjGGIbcF14AaABAg,Democrats need to stop voting for a duopoly that the very rich owns. VOTE for Jill Stein or Ralph Nader and a better future for those of the working class !,2023-04-28T00:02:58Z,0,0.7082
QjgOie-m5-I,ABC News,Ugzqq5nmd3ZGyl2aPfJ4AaABAg,Give that man his ice cream!,2023-04-27T21:54:29Z,0,0.0
QjgOie-m5-I,ABC News,Ugx4-o48R-ME64WfycV4AaABAg,"Im hoping he runs and loses his mind more and admits what he did to his daughter in the shower. You know, like what was in her diary.",2023-04-27T21:54:11Z,0,0.6682
QjgOie-m5-I,ABC News,UgxaX_HLTLBx3PGc8G14AaABAg,The Democrat's are turning off the comments on vids. Wonder why? Maybe they dont care what you and your family think.,2023-04-27T21:47:57Z,1,-0.3875
QjgOie-m5-I,ABC News,UgyRl-hNYvA2yqBWGDx4AaABAg,"Biden will kill all his neighbor after abandoned Afghanistan he make war Ukrain and Russia,now his planning to make war Asia, Taiwan and China this guy is a gate if hell.",2023-04-27T21:36:11Z,0,-0.9686
QjgOie-m5-I,ABC News,UgwCpOP4sxvw4ZdiO2Z4AaABAg,"Joe Biden is talking about ""FREEDOM"" as he plan to run for re-election 🙄😏...but yet during the pandemic he said getting vaccinated was NOT about freedom🤨!! This country doesn't need him finishing a job he fuk'd up!!",2023-04-27T21:36:03Z,0,0.0
QjgOie-m5-I,ABC News,Ugyb6pcGnktM5tfyzCB4AaABAg,Holy cr*ap this video has got 12% likes and 88% dislikes let’s go Brandon 😂,2023-04-27T20:48:39Z,6,0.0258
QjgOie-m5-I,ABC News,UgzVpFQAdcIMlgcS6_h4AaABAg,Joe Biden has worked so hard to destroy our country in my opinion. He needs to leave the office. My wish is that Trump gets elected and throws him the hell out along with Carmella.,2023-04-27T20:31:46Z,1,-0.8285
QjgOie-m5-I,ABC News,UgxRXYZNINVU4SptaMF4AaABAg,Incompetence is not working for America!!,2023-04-27T20:21:34Z,0,-0.5972
QjgOie-m5-I,ABC News,UgwRnUg0paWV4INdKyh4AaABAg,80 million p*do voters. Time for civil war 2.,2023-04-27T20:13:33Z,0,-0.5994
QjgOie-m5-I,ABC News,Ugwj4GI4Y-Ps0sJvp654AaABAg,"Go ahead Amerikkka, commit the same mistake and vote this terrorist back in office. You have nothing to lose. They already poisoned you with a vaccine.",2023-04-27T19:48:22Z,0,-0.8302
QjgOie-m5-I,ABC News,Ugyk4AGLcXY4HMU5ACl4AaABAg,Joe's idea of fighting for democracy is allowing Chinese balloons to gather intel,2023-04-27T17:32:36Z,0,-0.3612
QjgOie-m5-I,ABC News,UgzDEO9D9lfitss9j_R4AaABAg,This is what we call the puppet show.,2023-04-27T16:56:54Z,1,0.0
QjgOie-m5-I,ABC News,UgwVpjbBxNyKldeuPdd4AaABAg,"Imagine how great our country would be if the imaginary ""insurrection"" WAS real, and actually worked!  SAVE THE U.S.A!",2023-04-27T16:53:56Z,0,0.863
QjgOie-m5-I,ABC News,UgxbrwQG64h-xPUoR454AaABAg,There you go Joe show the world how you have been destroying America and now you  need one more term to finish off America,2023-04-27T16:45:08Z,0,-0.5574
QjgOie-m5-I,ABC News,UgzSaF-xKgoNAaMhVnF4AaABAg,TRUMP 2024 ULTRA MAGA,2023-04-27T14:34:45Z,1,0.0
QjgOie-m5-I,ABC News,UgzgjC3UrJtWaFvW7E94AaABAg,Woke VS America,2023-04-27T13:47:25Z,1,0.0
QjgOie-m5-I,ABC News,UgzEqzwsIU_naIFjz0R4AaABAg,Boycott both parties and CNN FOX MSNBC.  Here’s something interesting.  https://youtu.be/yGhcACZQsJ4,2023-04-27T13:24:55Z,0,0.4767
QjgOie-m5-I,ABC News,UgzqN3kxyWmvIDsdLJB4AaABAg,Finish the job doing what ? Destroying America,2023-04-27T11:17:03Z,1,-0.5574
QjgOie-m5-I,ABC News,Ugwl-45ub0X_LiEbEOl4AaABAg,Not without social media covering for him he won't,2023-04-27T11:02:18Z,0,0.0
QjgOie-m5-I,ABC News,Ugz5aFKrpC0GZgE7Prl4AaABAg,So he spent 3 minutes spreading propaganda,2023-04-27T10:59:40Z,0,-0.25
QjgOie-m5-I,ABC News,UgzKQHkrDXtXW7wkglt4AaABAg,Finish the job he says 🤣🤣🤣,2023-04-27T10:06:19Z,0,0.0
QjgOie-m5-I,ABC News,UgzpBGv1a1qHsYqrHZp4AaABAg,Your administration was a nightmare trump.  Shut up you criminal orange trash panda,2023-04-27T05:51:26Z,0,-0.5267
QjgOie-m5-I,ABC News,UgwnTwwUC5WsC4eHwFR4AaABAg,"The Simpsons predicted that because Bart didn’t go to vote, it was one vote off and the wrong person is elected and it causes mayhem. Vote everyone lol",2023-04-27T05:14:01Z,0,-0.0772
QjgOie-m5-I,ABC News,UgywhDSWbcI_g39Ae8F4AaABAg,Kennedy.,2023-04-27T04:47:08Z,0,0.0
